product_id,product_name,product_category,discount_type
P001,AWS Enterprise Jobs Light Compute,Jobs,Cross Service Family
P002,AWS Enterprise Jobs Compute,Jobs,Cross Service Family
P003,AWS Enterprise Jobs Compute (Photon),Jobs,Cross Service Family
P004,AWS Enterprise All-Purpose Compute,All-Purpose,Cross Service Family
P005,AWS Enterprise All-Purpose Compute (Photon),All-Purpose,Cross Service Family
P006,AWS Enterprise DLT Core Compute,DLT,Cross Service Family
P007,AWS Enterprise DLT Pro Compute,DLT,Cross Service Family
P008,AWS Enterprise DLT Advanced Compute,DLT,Cross Service Family
P009,AWS Enterprise DLT Core Compute (Photon),DLT,Cross Service Family
P010,AWS Enterprise DLT Pro Compute (Photon),DLT,Cross Service Family
P011,AWS Enterprise DLT Advanced Compute (Photon),DLT,Cross Service Family
P012,AWS Enterprise SQL Compute,SQL,Cross Service Family
P013,AWS Enterprise SQL Pro Compute,SQL,Cross Service Family
P014,AWS Enterprise Serverless SQL Compute,SQL,Cross Service Family
P015,AWS Enterprise Jobs Serverless Compute,Jobs,Cross Service Family
P016,AWS Enterprise All-Purpose Serverless Compute,All-Purpose,Cross Service Family
P017,AWS Enhanced Security and Compliance,Security,Cross Service Family
P018,AWS Enterprise Clean Rooms Collaborator,Clean Rooms,Cross Service Family
P019,AWS Enterprise Database Serverless Compute,Database,Cross Service Family
P020,AWS Enterprise Serverless Real-Time Inference,Model Inference,Add-on
P021,AWS Enterprise Model Training,Model Training,Add-on
P022,AWS Public Connectivity Data Processed,Networking,Add-on
P023,AWS Private Connectivity Data Processed,Networking,Add-on
P024,AWS Private Connectivity Endpoint,Networking,Add-on
P025,AWS Inter-Region Egress,Networking,Add-on
P026,AWS Inter-Availability Zone Egress,Networking,Add-on
P027,AWS Internet Egress,Networking,Add-on
P028,AWS Databricks Storage,Storage,Add-on
P029,AWS Enterprise OpenAI Model Serving,Model Serving,Add-on
P030,AWS Enterprise Anthropic Model Serving,Model Serving,Add-on
P031,AWS Enterprise Gemini Model Serving,Model Serving,Add-on
